id,accion
text_53,text_93
,error
text_53,
,6
error,error
,text_93
,6
,text_93
31,
text_53,
,text_93
31,error
31,
31,text_93
error,
,error
,6
text_53,
text_53,text_93
text_53,error
31,text_93
text_53,text_93
text_53,6
,
text_53,text_93
text_53,text_93
,text_93
31,6
31,error
31,
error,
,error
31,error
text_53,
error,
,error
,
,
text_53,text_93
,error
31,
text_53,text_93
text_53,
31,6
,
,
31,
,
,error
text_53,
error,error
text_53,
31,text_93
,6
,text_93
,
31,error
error,
,
text_53,
error,6
31,6
31,6
error,
,error
31,6
,6
,error
text_53,
text_53,
error,
,6
,text_93
31,
,error
text_53,
,text_93
error,
31,
,
error,
,text_93
error,
text_53,text_93
,
error,text_93
,6
,error
error,
text_53,
text_53,
text_53,6
error,
error,
,text_93
,
31,6
31,
error,
,
,
,error
text_53,
31,error
31,
error,error
,
,error
text_53,6
error,6
,error
error,
,text_93
,6
,
,
text_53,
,text_93
error,text_93
31,6
error,
31,error
text_53,error
,
31,text_93
error,6
,error
31,
error,
text_53,
31,
error,text_93
,
31,
31,
,
31,6
,
,6
error,text_93
text_53,text_93
31,text_93
text_53,
,
text_53,6
,6
text_53,text_93
error,6
text_53,text_93
,
,text_93
text_53,text_93
,text_93
,error
error,error
error,
,
,6
error,text_93
text_53,
text_53,error
text_53,
error,
,text_93
31,text_93
text_53,6
,error
,6
31,
error,6
,
31,6
error,error
error,error
,error
,6
,error
text_53,6
,
text_53,6
,text_93
error,6
31,
,6
31,error
text_53,6
text_53,
text_53,6
,
text_53,error
,
,6
text_53,text_93
,text_93
text_53,
error,error
31,text_93
text_53,
,
error,
,
error,text_93
error,6
,
error,text_93
error,text_93
31,text_93
,6
text_53,text_93
error,6
,text_93
,
,
text_53,6
,6
error,text_93
error,6
,error
text_53,
error,6
,
error,text_93
,text_93
,text_93
error,text_93
text_53,6
text_53,
31,error
,error
error,text_93
,text_93
text_53,
text_53,
31,
text_53,error
error,
31,
,
31,
,text_93
error,
,6
,text_93
,6
error,
error,error
text_53,
text_53,
error,6
,
31,text_93
,error
31,error
,
text_53,6
text_53,error
,error
,6
text_53,
text_53,text_93
,error
text_53,error
,text_93
,text_93
,6
31,
error,
,6
,error
,6
31,text_93
error,6
,
,
text_53,text_93
31,
error,
text_53,error
error,text_93
,error
,error
31,
error,text_93
error,
,error
text_53,text_93
,text_93
31,text_93
,6
,6
error,
,text_93
text_53,
,error
,6
31,
31,6
31,
,error
error,error
,error
31,6
,
text_53,
31,text_93
text_53,
,
error,error
,
text_53,6
,
,
31,error
,error
text_53,
error,
,
31,text_93
,
error,text_93
31,
text_53,text_93
,
31,text_93
31,error
error,6
text_53,
error,
,6
text_53,
,
text_53,error
,
31,
error,
error,
,
,6
,error
,text_93
,6
error,text_93
error,error
text_53,
text_53,error
31,
text_53,error
31,6
,
error,
31,
,
text_53,text_93
31,6
,6
text_53,text_93
text_53,
,
error,text_93
error,6
text_53,
31,text_93
,
,text_93
31,
,error
text_53,
error,
error,
error,error
text_53,error
31,6
text_53,error
,text_93
error,text_93
error,
text_53,error
31,
text_53,
text_53,error
error,error
error,6
text_53,text_93
,error
error,error
,error
text_53,6
error,6
error,6
31,
,6
,
error,error
31,error
,error
,
,text_93
,text_93
text_53,error
31,6
,6
text_53,text_93
,
,text_93
,error
,error
,text_93
,
,text_93
31,text_93
,
error,
error,
text_53,
error,6
,text_93
error,text_93
,error
text_53,6
,6
31,
,text_93
,text_93
,text_93
error,
,error
text_53,6
error,
error,
error,6
31,
,
,text_93
31,text_93
31,
,error
,text_93
,6
,
,
,
error,
text_53,
text_53,
,text_93
error,6
error,
31,6
31,text_93
error,
error,
,text_93
text_53,6
text_53,
31,error
error,
31,text_93
error,error
text_53,6
text_53,
,
text_53,6
error,error
,error
error,
text_53,6
text_53,
31,error
text_53,6
,
,6
error,6
,6
error,6
error,6
,
,
31,text_93
,text_93
31,error
error,error
,
31,error
error,text_93
error,6
text_53,
,error
error,
,
text_53,
31,
31,
text_53,
error,
,
,
,6
31,error
,
31,text_93
31,6
,text_93
,
error,text_93
31,error
text_53,6
,
31,
,
31,text_93
,
text_53,6
error,6
error,text_93
,text_93
text_53,error
31,error
error,
error,
,6
31,
error,
text_53,error
,6
error,error
,
,6
,text_93
,
,
error,
,6
text_53,6
,6
,error
,text_93
,text_93
error,
,
31,
error,
,
,
error,6
,
error,6
,
text_53,
,
text_53,
,6
31,text_93
text_53,
,6
,6
,error
error,text_93
text_53,
,
,text_93
31,6
text_53,
,
31,6
,
31,
error,error
,error
31,error
,6
error,6
error,text_93
,6
,text_93
text_53,text_93
text_53,
text_53,6
,
,6
text_53,text_93
text_53,6
,6
31,
,
,6
,text_93
,
error,
31,
text_53,
,text_93
31,
,text_93
31,error
,
error,
text_53,
,
,6
error,
31,error
31,text_93
31,error
,6
text_53,text_93
,6
31,
31,6
31,error
error,6
,
,
31,
,text_93
text_53,
error,
error,
,text_93
,error
,6
error,text_93
31,
error,
,text_93
error,6
,error
text_53,6
31,text_93
error,
,
,6
,
31,error
,error
31,6
,
,error
error,text_93
text_53,
,text_93
error,6
31,error
31,text_93
31,error
text_53,6
text_53,
text_53,6
,
31,
,text_93
text_53,6
31,
text_53,error
text_53,
error,error
error,6
error,6
error,error
31,6
31,6
,error
text_53,
text_53,6
,text_93
text_53,error
text_53,
31,6
,error
31,
text_53,
31,error
text_53,
error,
error,
text_53,text_93
31,
error,
,error
error,
error,6
error,text_93
error,6
text_53,text_93
error,6
,text_93
text_53,error
,text_93
,6
error,
text_53,6
error,
text_53,
error,error
,
31,error
,
,error
error,
text_53,
text_53,
,
error,
error,6
text_53,text_93
text_53,text_93
,6
error,text_93
31,
31,text_93
31,
error,error
text_53,error
,
31,
error,6
,text_93
,
error,6
error,6
error,text_93
text_53,
,error
error,
text_53,error
,
,error
31,6
error,6
text_53,text_93
31,
error,
error,text_93
,6
,6
error,error
,error
text_53,error
error,
error,text_93
,6
,error
,error
,
31,text_93
error,error
,
,
,6
,
,text_93
,6
,6
error,
,
error,
text_53,6
,6
error,text_93
text_53,
,error
,text_93
31,
error,error
31,
31,
,text_93
error,text_93
31,text_93
error,6
text_53,text_93
31,
31,6
error,6
text_53,6
error,
,text_93
,
,6
text_53,
text_53,text_93
,6
text_53,text_93
,
,text_93
31,text_93
text_53,6
error,text_93
error,6
,text_93
,
,text_93
error,
31,
,
text_53,text_93
31,6
text_53,error
error,
text_53,
,error
text_53,text_93
text_53,error
error,
31,error
error,
,text_93
error,error
error,
,error
error,6
,
text_53,
31,
,error
error,text_93
text_53,
,6
,
,6
,
31,error
,6
,6
31,6
error,
,6
,
,error
error,error
,text_93
error,6
31,6
text_53,
31,6
,text_93
31,error
,
31,6
,error
31,
,text_93
31,text_93
text_53,text_93
error,
,6
,
,text_93
,
,6
text_53,error
error,
,
error,6
error,6
31,
error,text_93
,6
31,
,text_93
error,
31,error
error,6
31,
,6
31,text_93
text_53,text_93
,6
,error
,text_93
text_53,text_93
31,
error,
,6
31,
31,error
text_53,text_93
error,
31,
,text_93
error,6
error,
31,error
error,
,
error,text_93
text_53,
31,6
,
31,6
text_53,6
text_53,
,6
text_53,
31,text_93
error,
text_53,6
text_53,error
error,
31,
error,text_93
error,text_93
,error
text_53,error
,error
error,6
31,text_93
,
31,text_93
text_53,6
text_53,error
,
error,6
,error
,6
text_53,
error,
error,6
,
text_53,error
,6
,6
,error
,error
,
,
,
31,
31,
,6
error,text_93
,
,6
,error
,error
,error
31,
,
error,
error,error
text_53,error
text_53,
error,
,6
text_53,text_93
error,
text_53,text_93
,
text_53,error
,6
error,error
text_53,6
,error
,error
,
,6
,6
text_53,
text_53,error
,text_93
text_53,text_93
text_53,6
31,
error,
text_53,
,error
text_53,
31,error
text_53,error
,
,text_93
31,text_93
error,text_93
error,
,
31,
,
31,
,text_93
text_53,
,6
31,error
text_53,error
text_53,6
error,error
text_53,
error,
31,
error,error
31,
text_53,
text_53,
,6
31,
,6
,error
,text_93
text_53,
,text_93
,6
,6
error,
text_53,
error,error
,
error,
31,text_93
,
31,
31,
,6
,text_93
31,
error,
,text_93
31,6
text_53,6
text_53,6
error,
text_53,
,text_93
,
error,
,
text_53,6
,text_93
31,error
error,text_93
31,
31,error
31,
text_53,error
,
,error
,6
error,6
31,
,text_93
,6
31,error
31,
31,error
,
text_53,text_93
error,text_93
,
,
error,
,
text_53,error
31,
error,text_93
text_53,6
text_53,text_93
text_53,6
31,6
31,error
,
31,
31,
text_53,
error,text_93
,6
text_53,
31,6
text_53,
31,
31,error
,text_93
error,
31,text_93
,error
,6
,
error,text_93
31,
error,error
text_53,
,text_93
error,error
error,error
,text_93
,
31,
text_53,
,
error,error
error,6
31,text_93
,6
,text_93
error,error
,
,
,
error,error
31,6
error,6
,error
,
,6
31,error
,error
text_53,error
31,
,error
,error
,
error,text_93
,text_93
,text_93
text_53,6
error,6
,error
31,
,
31,
,error
,
error,text_93
,6
text_53,error
error,error
,6
31,text_93
,text_93
31,
,error
31,
,
error,
,text_93
text_53,
,
,error
,
text_53,
31,
text_53,error
,error
text_53,
text_53,
error,
error,6
,
text_53,error
,text_93
,error
error,
31,
,text_93
text_53,
31,6
,
,6
error,error
,
,
error,6
,error
31,
text_53,error
,text_93
text_53,
,text_93
,
,text_93
31,error
31,6
31,
text_53,error
,
31,
text_53,text_93
error,text_93
31,text_93
,text_93
,
31,
,
,
text_53,text_93
error,
,text_93
,
,
,
text_53,
error,error
,6
,error
31,
,6
,error
,
text_53,6
31,
text_53,text_93
text_53,
error,
,
31,
text_53,text_93
,text_93
error,
31,6
31,6
,error
,
text_53,
,
31,
error,text_93
31,6
,
,6
,
,text_93
,error
text_53,text_93
,error
,error
error,6
31,
31,6
text_53,6
text_53,6
,error
text_53,6
text_53,
text_53,6
31,error
31,text_93
,
,6
,
31,
,6
31,
text_53,
text_53,6
text_53,
error,error
error,
text_53,text_93
text_53,6
,
,text_93
,
,error
,
error,error
31,6
text_53,6
31,text_93
,6
,
,error
,
error,6
text_53,6
,6
error,
31,
error,
text_53,error
,6
text_53,text_93
error,text_93
text_53,text_93
31,6
text_53,error
31,
,
error,
,
31,
,
error,
error,text_93
31,
text_53,text_93
31,
31,error
,
error,
31,text_93
error,error
31,
error,6
text_53,6
text_53,text_93
,error
31,
,
error,
error,
,error
,error
31,error
,6
31,
,
text_53,error
31,text_93
,6
31,text_93
,
error,text_93
31,
31,
,error
text_53,error
error,error
error,6
text_53,6
31,
,text_93
,
,6
,text_93
text_53,
text_53,6
,error
,
error,text_93
error,
text_53,
error,6
31,6
,
error,
,6
text_53,
error,
,error
text_53,
,text_93
text_53,
text_53,
error,
31,
31,text_93
text_53,
,
,error
,6
text_53,text_93
,text_93
error,
31,
error,error
31,6
,
,
31,6
error,
,
text_53,text_93
31,6
text_53,error
text_53,error
,error
error,
,error
text_53,
,error
text_53,error
,text_93
,text_93
,text_93
,error
,text_93
,
,text_93
,text_93
,
error,
,error
,error
31,
,6
,
31,
error,
error,text_93
,
31,error
,
,
,
,text_93
text_53,
text_53,text_93
text_53,
,text_93
text_53,error
31,6
,text_93
,6
,
,
,error
31,text_93
error,6
,6
error,
error,
error,text_93
error,error
,6
,error
error,6
error,error
error,text_93
,
,
31,text_93
,
31,text_93
31,text_93
text_53,error
error,error
31,
error,error
,
,error
,
error,error
,
text_53,error
31,
,error
error,6
error,6
31,
error,6
,6
,6
,error
31,error
,text_93
error,text_93
,
,error
,text_93
error,
error,
31,error
error,
31,
,error
31,
text_53,error
,error
,text_93
,
,6
text_53,
,
31,error
,6
error,6
31,text_93
,error
,
31,6
text_53,6
error,
31,
error,6
error,6
,
text_53,error
error,
error,error
error,error
error,
error,text_93
,error
text_53,
text_53,text_93
31,
error,text_93
,6
,6
text_53,text_93
,text_93
error,
31,error
error,6
31,error
text_53,
,
error,
,error
,text_93
,text_93
text_53,6
,error
text_53,text_93
,error
,error
,
31,text_93
,error
31,6
,text_93
error,
error,text_93
error,
,
,text_93
error,error
,text_93
31,
,
31,6
31,6
,
text_53,text_93
,
31,6
31,6
,error
,
,text_93
31,error
31,
,error
text_53,text_93
,error
error,text_93
,
error,6
,error
31,error
,
,error
,6
,
error,error
31,
31,
text_53,
text_53,6
text_53,text_93
error,
text_53,6
error,
error,
,
31,text_93
,text_93
,6
31,text_93
error,6
text_53,error
error,text_93
,error
,error
,
text_53,
error,
31,text_93
,
error,
,6
error,error
text_53,error
,text_93
text_53,text_93
text_53,text_93
31,
,
,
31,6
,6
,
31,
,
text_53,text_93
,6
31,text_93
,error
,6
error,error
31,text_93
,6
31,
31,error
,
31,6
text_53,
,
text_53,
text_53,
31,6
,
,6
,6
31,text_93
,
31,error
31,text_93
,
31,6
text_53,error
error,6
,error
error,
,error
error,
,
31,text_93
,6
31,6
,error
,error
error,text_93
31,
text_53,6
text_53,
,6
text_53,error
,
text_53,6
,text_93
,
text_53,error
31,6
31,error
text_53,6
31,text_93
,text_93
text_53,
,
,text_93
,6
31,
error,text_93
,error
,text_93
text_53,
,
,error
,6
text_53,text_93
,error
,error
,error
31,text_93
error,6
,6
31,
,
31,6
,text_93
31,
31,6
,
,error
,
text_53,
error,text_93
,6
text_53,
,6
,6
error,text_93
31,error
error,error
error,error
,
text_53,
,
,text_93
error,6
error,error
error,text_93
31,
error,text_93
31,6
,
error,error
31,
text_53,error
31,
text_53,
,6
text_53,
,6
error,error
,
error,error
error,
error,
text_53,text_93
text_53,6
error,
31,text_93
error,
error,
,error
31,error
,text_93
,
,
text_53,error
,
,6
,
,6
,
31,6
,text_93
,error
text_53,
text_53,error
,6
error,text_93
31,
text_53,text_93
31,6
text_53,
,6
31,text_93
error,6
,6
,
,
,error
text_53,
text_53,
error,
text_53,6
,6
error,text_93
error,
error,
text_53,text_93
31,
error,text_93
31,error
31,error
,6
error,error
,text_93
31,
,
error,error
error,text_93
,
31,error
error,6
,
error,error
text_53,text_93
31,error
,text_93
error,6
31,6
,
error,error
error,
error,
31,text_93
,
,error
text_53,
text_53,6
31,text_93
text_53,
,
error,
text_53,6
text_53,6
error,error
,error
,
error,
31,error
,text_93
,
error,text_93
,
error,error
error,6
error,6
31,text_93
,6
text_53,6
text_53,text_93
text_53,error
,
,
,
,6
error,error
,
text_53,error
31,error
31,
,error
,error
error,6
error,
,6
text_53,text_93
text_53,error
text_53,
text_53,text_93
31,6
error,error
text_53,
,
,
error,
,text_93
text_53,text_93
,text_93
,text_93
,
error,error
,
,error
,6
,error
31,text_93
text_53,
text_53,
,text_93
,6
,
text_53,
,
error,
,
31,
error,6
,text_93
error,
31,6
,
31,
31,error
31,error
31,error
text_53,text_93
error,6
,error
31,
text_53,
31,6
text_53,
,error
text_53,
error,text_93
text_53,6
,error
error,6
text_53,error
text_53,
,6
text_53,6
,6
,
,
error,text_93
31,6
31,text_93
31,text_93
,
error,
,
error,6
31,
text_53,
,
31,error
,
error,
text_53,error
,error
error,error
error,
,
31,
31,
error,text_93
text_53,error
error,text_93
,
,6
,6
,
text_53,error
text_53,
,error
text_53,
31,
error,6
error,
31,
error,error
31,6
,error
text_53,
error,6
31,text_93
,
text_53,
error,6
,text_93
,6
31,
,6
error,text_93
,text_93
,text_93
error,error
,error
,
error,error
text_53,
,
error,6
,
31,text_93
error,6
31,text_93
text_53,text_93
,
text_53,text_93
error,
error,error
,
,
text_53,
,
31,
31,
,
,text_93
,6
31,text_93
,error
text_53,
error,
text_53,
error,text_93
text_53,error
,text_93
error,text_93
,error
31,
,
error,6
,
error,text_93
text_53,6
,6
text_53,
error,
,6
,
31,
31,error
text_53,text_93
text_53,
error,
,6
text_53,
,
error,6
31,
text_53,
,
31,6
31,text_93
,
error,
text_53,error
,text_93
,
text_53,6
text_53,error
error,
31,error
error,error
,text_93
31,6
error,error
31,6
31,
31,6
text_53,text_93
,error
31,error
,
,
text_53,6
text_53,
,6
,6
,6
error,error
,text_93
31,text_93
,text_93
31,error
,6
text_53,
,error
error,error
error,error
text_53,
text_53,6
31,6
,
error,
,text_93
31,6
text_53,text_93
31,
error,6
31,error
31,6
,text_93
,6
text_53,text_93
,6
,text_93
text_53,
text_53,6
error,text_93
error,
error,6
,
,
,
text_53,text_93
error,
31,
,
,error
,text_93
,error
31,
error,
,error
31,error
error,6
text_53,error
,error
,text_93
,error
31,text_93
,6
error,error
,
31,text_93
error,text_93
,6
error,
31,text_93
error,
,6
text_53,6
text_53,6
error,6
,
,6
text_53,
,
text_53,
error,error
31,6
,
31,
,error
text_53,6
text_53,
,
31,
31,
31,
,
,6
text_53,
text_53,error
,
error,
31,
error,
31,text_93
error,error
31,6
31,6
,6
,
,6
error,
error,error
,
error,
,6
text_53,6
,text_93
,
31,text_93
31,
error,error
31,error
text_53,
text_53,6
31,
,6
error,text_93
error,6
text_53,
text_53,
error,text_93
31,
31,6
error,error
31,text_93
31,
error,
error,error
text_53,6
,error
,text_93
31,
,text_93
,6
text_53,text_93
,
31,6
31,
error,text_93
,error
31,text_93
31,
31,error
31,text_93
,
,6
,error
,6
text_53,
31,error
,
error,text_93
31,error
text_53,text_93
text_53,6
error,error
31,error
error,error
error,
text_53,6
text_53,error
error,6
text_53,text_93
text_53,
31,
text_53,text_93
error,text_93
text_53,error
error,text_93
error,6
31,error
,
,
text_53,
31,
text_53,error
,6
,
text_53,6
error,6
,error
error,
error,error
text_53,text_93
,
